name,MinorMasterId,MLBAMId,age,level,team,Position,Bats,pscore,score_p,pa,woba,xwoba,wrcplus,iso,bbrate,krate,chaserate,whiffrate,zcontact,ev90,maxev,barrelpa,bat_speed,spd,savant_url,UPURL
Pedro Pineda,sa3015703,694191.0,22,A+,ATH,OF,0,11.225730751722123,0.28205128205128205,188,0.32044508704479713,0.0,64.68792604907206,0.099415205,8.510638199999999,32.9787234,36.66666666666666,33.14285714285714,81.2807881773399,0.0,0.0,0.0,0.0,5.599417245880291,Pedro-Pineda-694191,/players/pedro-pineda/sa3015703/stats/batting
Aidan Smith,sa3022611,806223.0,21,A+,TBR,OF,0,15.628741641999184,0.48534798534798534,188,0.2802745882541903,0.0,58.29880949822879,0.16867469899999998,7.9787234,32.4468085,30.343007915567284,32.22891566265061,84.12017167381973,0.0,0.0,0.0,0.0,8.185051686998525,Aidan-Smith-806223,/players/aidan-smith/sa3022611/stats/batting
Emil Morales,sa3023887,815896.0,19,A+,LAD,SS,0,25.920394102144453,0.8498168498168498,186,0.376103792459734,0.0,112.11605572382656,0.265432099,11.2903225,27.9569892,26.544622425629285,31.54761904761905,80.16194331983806,0.0,0.0,0.0,0.0,3.6532700479058597,Emil-Morales-815896,/players/emil-morales/sa3023887/stats/batting
Antonio Anderson,sa3023167,702995.0,21,A+,BOS,3B,0,23.0081600858585,0.76007326007326,186,0.3462759352499439,0.0,96.03601153724544,0.157232704,12.3655913,22.5806451,25.68807339449541,29.969418960244646,85.28138528138528,0.0,0.0,0.0,0.0,4.03137585818817,Antonio-Anderson-702995,/players/antonio-anderson/sa3023167/stats/batting
Shalin Polanco,sa3015699,694186.0,22,A+,PIT,OF,0,13.720337585438152,0.4010989010989011,186,0.2961120256172713,0.0,63.33202005584806,0.172839506,10.2150537,29.5698924,32.04545454545455,33.773087071240106,82.08333333333333,0.0,0.0,0.0,0.0,7.481140003218782,Shalin-Polanco-694186,/players/shalin-polanco/sa3015699/stats/batting
Kendry Chirinos,sa3018453,800140.0,21,A+,TOR,1B/3B,0,13.104376524860482,0.36813186813186816,185,0.28928929406243403,0.0,70.21618139362806,0.10625,10.270270199999999,30.810810800000002,25.907990314769968,34.756097560975604,76.8888888888889,0.0,0.0,0.0,0.0,3.68112244,Kendry-Chirinos-800140,/players/kendry-chirinos/sa3018453/stats/batting
Luke Davis,sa3067039,701592.0,23,A+,PHI,C/1B,0,18.5684104554002,0.6153846153846154,184,0.34313802323911496,0.0,100.01619345711501,0.136986301,20.652173899999998,26.086956500000007,12.672811059907836,24.892703862660948,83.79888268156425,0.0,0.0,0.0,0.0,4.04145268566655,Luke-Davis-701592,/players/luke-davis/sa3067039/stats/batting
Myles Naylor,sa3022605,802504.0,21,A+,ATH,SS,0,19.43990926358311,0.6391941391941391,184,0.3657006135453349,0.0,91.90978782387451,0.148387097,12.5,34.7826086,30.730478589420656,33.42857142857143,79.82456140350878,0.0,0.0,0.0,0.0,6.781174541470588,Myles-Naylor-802504,/players/myles-jaxon-naylor/sa3022605/stats/batting
Luis Caicuto,sa3016923,691276.0,23,A+,PHI,C,0,18.764582648725863,0.6190476190476191,183,0.3404292817954179,0.0,98.36493401080459,0.148648648,14.207650199999998,14.207650199999998,27.27272727272727,19.34426229508197,90.2777777777778,0.0,0.0,0.0,0.0,3.5935909397824286,Luis-Caicuto-691276,/players/luis-caicuto/sa3016923/stats/batting
Enmanuel Tejeda,sa3018497,800285.0,21,A+,NYY,2B/3B,0,24.672468427066974,0.8186813186813187,183,0.3235316407549512,0.0,86.8294677108048,0.129032258,12.568306000000002,20.218579199999997,24.20212765957447,22.3728813559322,86.9767441860465,0.0,0.0,0.0,0.0,4.732603997943336,Enmanuel-Tejeda-800285,/players/enmanuel-tejeda/sa3018497/stats/batting
Juan Hernandez,sa3021152,808037.0,20,A+,DET,2B/3B/SS,0,5.158331416435313,0.08241758241758242,182,0.24194374353021056,0.0,36.636318473639925,0.05813953400000001,4.9450549000000015,32.41758239999999,35.02673796791444,39.097744360902254,73.85159010600707,0.0,0.0,0.0,0.0,3.6830694713327055,Juan-Hernandez-808037,/players/juan-hernandez/sa3021152/stats/batting
Woody Hadeen,sa3025602,802219.0,23,A+,DET,2B/SS,0,21.129608309043018,0.6959706959706959,182,0.3688800091242922,0.0,112.99034069832096,0.072847682,13.736263699999999,18.6813186,20.27027027027027,20.735785953177253,86.02620087336244,0.0,0.0,0.0,0.0,7.149975581605457,Woody-Hadeen-802219,/players/ryan-hadeen/sa3025602/stats/batting
Juan Matheus,sa3018611,801276.0,22,A+,MIA,3B/SS,0,27.61153865263768,0.8882783882783882,182,0.36994796663850216,0.0,111.18328033785826,0.210191083,12.087912,15.934065900000002,27.525252525252533,23.17460317460317,84.27947598253273,0.0,0.0,0.0,0.0,7.526793918635565,Juan-Matheus-801276,/players/juan-matheus/sa3018611/stats/batting
Rayne Doncon,sa3016720,699061.0,22,A+,MIN,3B/SS,0,14.718465091394165,0.43772893772893773,180,0.23866642187427545,0.0,29.631556753619776,0.13836478,10.0,18.3333333,32.22222222222222,25.806451612903228,79.65367965367966,0.0,0.0,0.0,0.0,4.54466122339166,Rayne-Doncon-699061,/players/rayne-doncon/sa3016720/stats/batting
Jacob McCombs,sa3037488,829643.0,21,A+,MIN,OF,0,24.26705998497773,0.8058608058608059,179,0.3892376235361849,0.0,120.20233906144907,0.196078432,3.9106145,20.1117318,41.80790960451977,26.023391812865494,85.36585365853658,0.0,0.0,0.0,0.0,7.435221969408089,Jacob-McCombs-829643,/players/jacob-mccombs/sa3037488/stats/batting
Kaleb Freeman,sa3031690,807461.0,23,A+,CHW,C/1B,0,21.030974245359726,0.6923076923076923,178,0.4568214086489489,0.0,167.87563774432007,0.28030303,21.9101123,28.089887599999997,16.989247311827956,30.303030303030305,80.52631578947368,0.0,0.0,0.0,0.0,1.9935696491289978,Kaleb-Freeman-807461,/players/kaleb-freeman/sa3031690/stats/batting
Josiah Hartshorn,sa3069285,815824.0,19,A+,CHC,1B/OF,0,33.66162229024983,0.9688644688644689,178,0.3988186070758305,0.0,124.76854017632088,0.265306123,10.6741573,24.1573033,24.22680412371134,25.559105431309906,86.71875,0.0,0.0,0.0,0.0,6.736323542098784,Josiah-Hartshorn-815824,/players/josiah-hartshorn/sa3069285/stats/batting
Teo Banks,sa3026520,695493.0,22,A+,WSN,OF,0,15.004661423344462,0.45054945054945056,176,0.3364948461001569,0.0,95.24010758277844,0.125,10.7954545,25.5681818,33.16195372750643,30.952380952380953,77.06422018348623,0.0,0.0,0.0,0.0,5.416896726012458,Teo-Banks-695493,/players/teo-banks/sa3026520/stats/batting
José Mejía,sa3021169,808090.0,20,A+,ARI,2B/3B,0,27.089162288290172,0.8754578754578755,176,0.31468114515260465,0.0,82.86350213386184,0.09395973099999999,11.363636300000001,19.3181818,27.17678100263852,16.666666666666664,90.0523560209424,0.0,0.0,0.0,0.0,6.355943296145541,José-Mejía-808090,/players/jose-mejia/sa3021169/stats/batting
Gage Harrelson,sa3033254,702629.0,22,A+,LAA,OF,0,12.040180014784664,0.315018315018315,176,0.3113193303004079,0.0,86.3569911459957,0.075342465,14.7727272,33.52272720000001,31.830238726790448,41.04938271604939,70.33492822966507,0.0,0.0,0.0,0.0,4.51252726737847,Gage-Harrelson-702629,/players/christopher-harrelson/sa3033254/stats/batting
Miguel Useche,sa3068933,687766.0,25,A+,CHC,C/OF,0,8.648518894992279,0.17582417582417584,176,0.3740388676098415,0.0,109.86316408814842,0.186666666,11.363636300000001,23.8636363,22.166246851385388,27.986348122866893,83.92857142857143,0.0,0.0,0.0,0.0,6.570318362501802,Miguel-Useche-687766,/players/miguel-useche/sa3068933/stats/batting
Kade Snell,sa3042672,820835.0,23,A+,CHC,OF,0,14.069601217401154,0.4157509157509158,174,0.3280876652262677,0.0,82.22284308433126,0.085714285,12.6436781,25.287356300000006,27.222222222222218,27.070063694267517,82.4074074074074,0.0,0.0,0.0,0.0,5.24093279385495,Kade-Snell-820835,/players/elijah-snell/sa3042672/stats/batting
T.J. White,sa3017697,695604.0,22,A+,WSN,OF,0,29.95236835276847,0.9194139194139194,174,0.3870631742339603,0.0,126.06675946177654,0.176470588,18.9655172,20.1149425,19.070904645476773,24.363636363636363,86.4734299516908,0.0,0.0,0.0,0.0,5.060655501379368,T.J.-White-695604,/players/treylen-white/sa3017697/stats/batting
Chase Jaworsky,sa3022700,814172.0,21,A+,MIA,2B/SS,0,18.487938023049658,0.6135531135531136,169,0.2491996838496281,0.0,38.551420368569744,0.060402684000000005,10.6508875,23.076923,29.639175257731964,25.64102564102564,86.58008658008656,0.0,0.0,0.0,0.0,7.251766263513104,Chase-Jaworsky-814172,/players/chase-jaworsky/sa3022700/stats/batting
Alberto Barriga,sa3018595,800569.0,21,A+,ARI,C,0,27.01300461499923,0.8736263736263736,168,0.36881851582300096,0.0,117.25533412454972,0.231292517,11.3095238,22.0238095,31.695331695331696,24.539877300613494,79.79274611398964,0.0,0.0,0.0,0.0,4.271464684487826,Alberto-Barriga-800569,/players/alberto-barriga/sa3018595/stats/batting
Jason Schiavone,sa3025370,828395.0,23,A+,HOU,C/1B,0,20.27149195499838,0.673992673992674,168,0.5018273606186822,0.0,181.17348401824228,0.4765625,23.214285699999998,30.9523809,19.5,40.13840830449827,72.2222222222222,0.0,0.0,0.0,0.0,4.982095860618436,Jason-Schiavone-828395,/players/jason-schiavone/sa3025370/stats/batting
Rafe Perich,sa3025368,825927.0,24,A+,TEX,1B/3B,0,15.91947980242088,0.5,165,0.4300858544580864,0.0,150.1237144730537,0.302816901,12.1212121,20.606060600000003,23.79746835443038,25.0936329588015,83.85416666666666,0.0,0.0,0.0,0.0,6.4295822669119795,Rafe-Perich-825927,/players/rafe-perich/sa3025368/stats/batting
