Name,POS,Average,Median,Minimum,Maximum,Last 10,Roster%,norm
Robbie Ray SFG,SP,6.93,6.0,1,18,3.9,94.767%,robbie ray
Shane Bieber TOR,SP,6.93,7.0,1,22,4.0,81.105%,shane bieber
Bryson Stott PHI,2B/SS,6.9,7.0,1,16,4.4,96.512%,bryson stott
Hunter Goodman COL,C,6.89,6.0,3,22,12.3,100%,hunter goodman
Jordan Westburg BAL,2B/3B,6.84,6.0,1,21,5.0,81.686%,jordan westburg
Carlos Estevez KCR,RP,6.79,6.0,1,20,2.4,36.919%,carlos estevez
Alec Burleson STL,1B/OF,6.68,6.0,2,24,10.4,99.709%,alec burleson
Bryan Abreu HOU,RP,6.65,7.0,1,16,3.3,39.535%,bryan abreu
Samuel Basallo BAL,C/1B,6.64,6.0,3,17,9.5,100%,samuel basallo
Jo Adell LAA,OF,6.58,6.0,3,21,6.5,99.128%,jo adell
Jared Jones PIT,SP,6.49,6.0,1,18,5.1,99.709%,jared jones
Andy Pages LAD,OF,6.49,6.0,3,22,10.5,100%,andy pages
Travis Bazzana CLE,2B,6.47,6.0,1,17,5.9,100%,travis bazzana
Ivan Herrera STL,C,6.46,6.0,1,23,9.6,100%,ivan herrera
Corbin Burnes ARI,SP,6.46,6.0,1,22,5.0,97.093%,corbin burnes
Daniel Palencia CHC,RP,6.45,6.0,2,28,4.0,82.558%,daniel palencia
Jonathan Aranda TBR,1B,6.44,6.0,1,17,6.0,99.709%,jonathan aranda
Jakob Marsee MIA,OF,6.43,6.0,1,17,3.8,80.814%,jakob marsee
Colson Montgomery CHW,SS/3B,6.43,6.0,2,19,9.1,100%,colson montgomery
Spencer Steer CIN,1B/2B/OF,6.42,6.0,1,17,5.4,100%,spencer steer
Kyle Stowers MIA,1B/OF,6.4,6.0,1,28,5.7,100%,kyle stowers
Konnor Griffin PIT,SS,6.38,5.0,2,41,17.9,100%,konnor griffin
TJ Friedl CIN,OF,6.34,6.5,1,13,2.9,16.86%,tj friedl
Spencer Torkelson DET,1B,6.34,6.0,1,19,3.9,88.953%,spencer torkelson
Colt Keith DET,1B/2B/3B,6.32,6.0,1,16,4.5,86.628%,colt keith
Jack Flaherty DET,SP,6.26,6.0,1,19,4.7,79.07%,jack flaherty
Ryan Pepiot TBR,SP,6.18,6.0,1,20,3.3,66.57%,ryan pepiot
Drake Baldwin ATL,C,6.17,6.0,3,30,14.1,100%,drake baldwin
Royce Lewis MIN,1B/3B,6.12,6.0,1,17,4.7,96.512%,royce lewis
Grayson Rodriguez LAA,SP,6.1,5.0,1,18,3.5,62.5%,grayson rodriguez
Xander Bogaerts SDP,SS,6.08,6.0,1,23,3.6,81.105%,xander bogaerts
Sal Stewart CIN,1B/2B/3B,6.03,5.0,1,24,12.4,100%,sal stewart
Johan Rojas PHI,OF,6.0,6.0,6,6,1.3,0.291%,johan rojas
Mitch Spence KCR AAA,SP/RP,6.0,6.0,6,6,1.4,0.291%,mitch spence kcr
Connor Joe SEA AAA,1B/OF,6.0,6.0,6,6,1.0,0.291%,connor joe sea
Erik Swanson FA,RP,6.0,6.0,6,6,1.7,0.291%,erik swanson
Marcelo Mayer BOS,2B/SS/3B,6.0,6.0,1,13,3.1,64.244%,marcelo mayer
Jeff Hoffman TOR,RP,5.96,5.0,1,20,3.6,91.279%,jeff hoffman
